Ge,Germanium,0.0,,372.0,,,331.2,31.1,,167.9
GeH3I,Iodogermane,,,,,,,,,283.2
GeH4,Germane,,,90.8,,,113.4,,,217.1
GeI4,Germanium(IV) iodide,-141.8,,-56.9,-144.3,,-106.3,271.1,,428.9
GeO,Germanium(II) oxide,-261.9,,-46.2,-237.2,,-73.2,50.0,,224.3
GeO2,Germanium(IV) oxide,-580.0,,,-521.4,,,39.7,,
GeS,Germanium(II) sulfide,-69.0,,92.0,-71.5,,42.0,71.0,,234.0
GeTe,Germanium(II) telluride,20.0,,,,,,,,
Ge2,Digermanium,,,473.1,,,416.3,,,252.8
Ge2H6,Digermane,,137.3,162.3,,,,,,
Ge3H8,Trigermane,,193.7,226.8,,,,,,
H,Hydrogen (atomic),,,218.0,,,203.3,,,114.7
HI,Hydrogen iodide,,,26.5,,,1.7,,,206.6
HIO3,Iodic acid,-230.1,,,,,,,,
HK,Potassium hydride,-57.7,,,,,,,,
HKO,Potassium hydroxide,-424.6,,-228.0,-378.7,,-229.7,78.9,,238.3
HKO4S,Potassium hydrogen sulfate,-1160.6,,,-1031.3,,,138.1,,
HLi,Lithium hydride,-90.5,,,-68.3,,,20.0,,
HLiO,Lithium hydroxide,-484.9,,,-439.0,,,42.8,,
HN,Imidogen,,,351.5,,,345.6,,,181.2
HNO2,Nitrous acid,,,-79.5,,,-46.0,,,254.1
HNO3,Nitric acid,,-174.1,-133.9,,-80.7,-73.5,,155.6,266.9
HN3,Hydrazoic acid,,264.0,294.1,,327.3,328.1,,140.6,239.0
HNa,Sodium hydride,-56.3,,,-33.5,,,40.0,,
HNaO,Sodium hydroxide,-425.6,,,-379.5,,,64.5,,
HNaO4S,Sodium hydrogen sulfate,-1125.5,,,-992.8,,,113.0,,
HNa2O4P,Sodium hydrogen phosphate,-1748.1,,,-1608.2,,,150.5,,
HO,Hydroxyl,,,39.0,,,34.2,,,183.7
HORb,Rubidium hydroxide,-418.2,,,,,,,,
HOTl,Thallium(I) hydroxide,-238.9,,,-195.8,,,88.0,,
HO2,Hydroperoxy,,,10.5,,,22.6,,,229.0
HO3P,Metaphosphoric acid,-948.5,,,,,,,,
HO4RbS,Rubidium hydrogen sulfate,-1159.0,,,,,,,,
HO4Re,Perrhenic acid,-762.3,,,-656.4,,,158.2,,
HRb,Rubidium hydride,-52.3,,,,,,,,
HS,Mercapto,,,142.7,,,113.3,,,195.7
HSi,Silylidyne,,,361.0,,,,,,
HTa2,Tantalum hydride,-32.6,,,-69.0,,,79.1,,
H2,Hydrogen,,,0.0,,,,,,130.7
H2KN,Potassium amide,-128.9,,,,,,,,
H2KO4P,Potassium dihydrogen phosphate,-1568.3,,,-1415.9,,,134.9,,
H2LiN,Lithium amide,-179.5,,,,,,,,
H2Mg,Magnesium hydride,-75.3,,,-35.9,,,31.1,,
H2MgO2,Magnesium hydroxide,-924.5,,,-833.5,,,63.2,,
H2N,Amidogen,,,184.9,,,194.6,,,195.0
H2NNa,Sodium amide,-123.8,,,-64.0,,,76.9,,
H2NRb,Rubidium amide,-113.0,,,,,,,,
H2N2O2,Nitramide,-89.5,,,,,,,,
H2NiO2,Nickel(II) hydroxide,-529.7,,,-447.2,,,88.0,,
H2O2,Hydrogen peroxide,,-187.8,-136.3,,-120.4,-105.6,,109.6,232.7
H2O2Sn,Tin(II) hydroxide,-561.1,,,-491.6,,,155.0,,
H2O2Sr,Strontium hydroxide,-959.0,,,,,,,,
H2O2Zn,Zinc hydroxide,-641.9,,,-553.5,,,81.2,,
H2O3Si,Metasilicic acid,-1188.7,,,-1092.4,,,134.0,,
H2O4S,Sulfuric acid,,-814.0,,,-690.0,,,156.9,
H2O4Se,Selenic acid,-530.1,,,,,,,,
H2S,Hydrogen sulfide,,,-20.6,,,-33.4,,,205.8
H2S2,Hydrogen disulfide,,-18.1,15.5,,,,,,
H2Se,Hydrogen selenide,,,29.7,,,15.9,,,219.0
H2Sr,Strontium hydride,-180.3,,,,,,,,
H2Te,Hydrogen telluride,,,99.6,,,,,,
H2Th,Thorium hydride,-139.7,,,-100.0,,,50.7,,
H2Zr,Zirconium(II) hydride,-169.0,,,-128.8,,,35.0,,
H3ISi,Iodosilane,,,,,,,,,270.9
H3N,Ammonia,,,-45.9,,,-16.4,,,192.8
H3NO,Hydroxylamine,-114.2,,,,,,,,
H3O2P,Hypophosphorous acid,-604.6,-595.4,,,,,,,
